accession_number,technology,assembly,country
OR365507.1,NA,NA,NA
OR438631.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438630.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438629.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438628.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438627.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438626.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438625.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438624.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438623.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438622.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438621.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438620.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438619.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438618.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438617.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438616.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438615.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438614.1,Illumina,CLC Genomics Workbench v. v11,Poland
OR438613.1,Illumina,CLC Genomics Workbench v. v11,Poland
MF381466.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381465.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381464.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381463.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381462.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381461.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381460.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381459.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381458.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381457.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381456.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381455.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381454.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381453.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381452.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381451.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381450.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381449.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381448.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381447.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381446.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381445.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381444.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381443.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381442.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381441.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381440.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381439.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381438.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381437.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381436.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381435.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381434.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381433.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381432.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381431.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381430.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381429.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381428.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381427.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381426.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381425.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381424.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381423.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381422.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381421.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381420.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381419.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381418.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381417.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381416.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381415.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381413.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381412.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381411.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381410.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381409.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381408.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381407.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381406.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381405.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381404.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381403.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381402.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381401.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381400.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381399.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381398.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381396.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381395.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381394.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381393.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381392.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381391.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381390.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381389.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381388.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381387.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381386.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381385.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381384.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381383.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381382.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381381.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381380.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381379.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381378.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381377.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381376.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381375.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381374.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381373.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381372.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381371.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381370.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381369.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381368.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381367.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381365.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381364.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381363.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381362.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381361.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381360.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381359.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381358.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381357.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381356.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381355.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381354.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381353.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381352.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381351.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381350.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381349.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381348.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381347.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381346.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381345.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381344.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381343.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381342.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381341.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381339.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381338.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381337.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381336.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381335.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381334.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381333.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381332.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381331.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381330.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381329.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381328.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381327.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381326.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381325.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381324.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381323.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381322.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381321.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381320.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381319.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381318.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381317.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381316.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381315.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381314.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381313.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381312.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381311.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381310.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381309.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381308.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381307.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381306.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381305.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381304.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381303.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381302.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381301.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381300.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381299.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381298.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381297.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381296.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381295.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381294.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381293.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381292.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381291.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381290.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381289.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381288.1,Illumina,BWA v. v0.5.10-evan,Angola
MF381287.1,Illumina,BWA v. v0.5.10-evan,Angola
MF177183.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177182.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177181.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177180.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177179.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177178.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177177.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177176.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177175.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177174.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177173.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177172.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177171.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177170.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177169.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177168.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177167.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177166.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177165.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177164.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177163.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177162.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177161.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177160.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
OP682197.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682196.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682195.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682194.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682193.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682192.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682191.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682190.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682189.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682188.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682187.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682186.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682185.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682184.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682183.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682182.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682181.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
