motif,num_profiles,profiles
mt-MRCA,0,
L0,0,
L0a'b'f'g'k,0,
L0a'b'f'g,0,
L0a'b'g,0,
L0a'g,0,
L0a,9,MF695986.1 MF695911.1 KF672796.1 MF695899.1 MF695878.1 MF362754.1 MF057821.1 MF057347.1 MF057346.1 
L0a1'4,4,MF696039.1 MF695909.1 MF695877.1 MF058126.1 
L0a1,1,KJ186009.1 
L0a1a,5,EU092764.1 EU092665.1 KJ445751.1 KF672829.1 KF451163.1 
L0a1a+200,13,EU092892.1 EU092881.1 EU092763.1 KM986532.1 JQ702428.1 KF672830.1 KF672821.1 JQ044903.1 JQ044851.1 KY409993.1 KY409941.1 KY409727.1 KY408199.1 
L0a1a1,11,EU092714.1 MF696033.1 KJ445750.1 KJ445749.1 KF672837.1 KF672836.1 JQ044893.1 OP682396.1 KF451860.1 KF451154.1 MK295855.1 
L0a1a2,39,KM101678.1 KM101598.1 KJ445752.1 KJ186005.1 KJ186004.1 KJ185972.1 KJ185863.1 KJ185806.1 KJ185754.1 JX303911.1 JX303869.1 JX303757.1 AY195780.1 JQ703481.1 JQ702227.1 KF672826.1 KF672822.1 JQ045053.1 JQ044995.1 JQ044874.1 JQ044849.1 JQ044838.1 KF451861.1 OL638600.1 OL638581.1 OL638546.1 MZ387172.1 MZ387133.1 MZ387119.1 MZ387049.1 MZ386692.1 MN894747.1 DQ304904.1 DQ304903.1 DQ304902.1 MF058196.1 AF346985.1 MF057241.1 MF056131.1 
L0a1a3,2,JQ044943.1 OP681841.1 
L0a1+16293,4,KJ185432.1 MF058197.1 MF057335.1 MF056439.1 
L0a1b,3,EU092889.1 EU092878.1 KY797199.1 
L0a1b1,31,KJ669116.1 KJ185510.1 KJ185398.1 AF381988.1 MF621130.1 MF381477.1 MF381469.1 MF381464.1 MF381456.1 MF381454.1 MF381450.1 MF381429.1 MF381419.1 MF381386.1 MF381382.1 MF381380.1 MF381379.1 MF381376.1 MF381373.1 MF381372.1 MF381370.1 MF381335.1 MF381319.1 MF381318.1 MF381313.1 MF381305.1 MF381301.1 MF381300.1 MF381296.1 MF381293.1 MF381292.1 
L0a1b1a,20,KJ669117.1 KJ445748.1 KJ185759.1 KJ185757.1 KJ185756.1 KJ185753.1 KJ185509.1 KJ185504.1 KC622107.1 KF672827.1 KF672807.1 OL638566.1 MZ387793.1 KF451144.1 DQ304899.1 EU935467.1 EU935464.1 EU935437.1 EU935434.1 MF055973.1 
L0a1b1a1,108,MF696109.1 EU092909.1 EU092871.1 EU092869.1 EU092858.1 EU092688.1 KJ669121.1 KJ669114.1 KJ445747.1 KJ186001.1 KJ185990.1 KJ185979.1 KJ185978.1 KJ185977.1 KJ185967.1 KJ185966.1 KJ185858.1 KJ185718.1 KJ185660.1 KJ185659.1 KJ185555.1 KJ185554.1 KJ185552.1 KJ185549.1 KJ185548.1 KJ185547.1 KJ185545.1 KJ185542.1 KJ185540.1 KJ185431.1 KJ185425.1 KJ185423.1 KC622272.1 KC622222.1 KC622164.1 KC622121.1 KC622117.1 KC622115.1 KC622114.1 KC622112.1 KC622106.1 KC622104.1 KC622078.1 KC622077.1 KC622068.1 KC622067.1 KC622063.1 KC533498.1 KC533496.1 KC533476.1 KC533466.1 JX303796.1 JQ702326.1 KF672805.1 OL638689.1 MZ387715.1 MZ387484.1 MZ387015.1 KF450901.1 MK248330.1 MK248329.1 MK248328.1 MK248327.1 MK248295.1 MF437111.1 MF058427.1 MF058387.1 MF058330.1 MF058322.1 MF058217.1 MF058163.1 MF058102.1 MF058101.1 MF058100.1 MF058052.1 MF057987.1 MF057818.1 MF057811.1 MF057667.1 MF057583.1 MF057554.1 MF057526.1 MF057511.1 MF057504.1 MF057502.1 MF057342.1 MF057245.1 MF057162.1 MF057150.1 MF057037.1 MF056383.1 MF056328.1 MF056129.1 MF056024.1 MF055993.1 MF055966.1 MF055954.1 MF055910.1 MF055860.1 MF055850.1 MF055845.1 MF055815.1 MF055786.1 MF055775.1 MH981673.1 MH981633.1 MH981613.1 MH981602.1 
L0a1b1a1a,5,KJ669120.1 MF695915.1 KF672806.1 MF695865.1 MF058454.1 
L0a1b2,5,KP635239.1 KP635238.1 KJ185750.1 OL638519.1 EU092963.1 
L0a1b2a,6,EU092746.1 KJ185926.1 KJ185805.1 KJ185551.1 OL638620.1 MZ386686.1 
L0a1c,1,KF672811.1 
L0a1c1,2,EU092760.1 EU092945.1 
L0a1d,10,EU092810.1 EU092809.1 EU092801.1 EU092670.1 KF672820.1 KF672815.1 KF672812.1 MF695893.1 MF695869.1 EU092950.1 
L0a1e,3,JX303766.1 KF672808.1 MF057796.1 
L0a4,1,EU092906.1 
L0a2,13,MF696104.1 MF695918.1 MF695895.1 MF695875.1 MK248320.1 MF058431.1 MF058188.1 MF058182.1 MF058119.1 MF058116.1 MF058113.1 MF056444.1 MF055761.1 
L0a2a,0,
L0a2a1,0,
L0a2a1a,20,MF696105.1 MF696091.1 KJ185883.1 KJ185882.1 KJ185881.1 KJ185752.1 KJ185751.1 KJ185722.1 KJ185433.1 KJ185424.1 KJ185396.1 KC622154.1 KF672831.1 OL638812.1 MZ387177.1 MF058335.1 MF056465.1 MF056452.1 MF056435.1 MF055811.1 
L0a2a1a1,1,KM102081.1 
L0a2a1a2,9,EU092911.1 EU092868.1 KJ185968.1 KC622065.1 KF672834.1 MK248321.1 MF058225.1 MH981631.1 MH981619.1 
L0a2a1b,53,EU092861.1 KM101580.1 KJ185865.1 KJ185755.1 KJ185720.1 KJ185717.1 KJ185654.1 KJ185653.1 KJ185557.1 KJ185546.1 KJ185543.1 KJ185508.1 KJ185506.1 KJ185505.1 KJ185503.1 KJ185501.1 KJ185500.1 KJ185499.1 KJ185498.1 KJ185496.1 KJ185495.1 KJ185494.1 KJ185480.1 KJ185476.1 KJ185462.1 KJ185461.1 KJ185397.1 JX303830.1 JX303784.1 MF695871.1 MF695864.1 MN894762.1 MF437212.1 MF381493.1 MF381490.1 MF381484.1 MF381474.1 MF381468.1 MF381466.1 MF381465.1 MF381461.1 MF381459.1 MF381458.1 MF381455.1 MF381453.1 MF381377.1 MF381338.1 MF381302.1 MF058124.1 MF057933.1 MF057085.1 MF056219.1 MF055939.1 
L0a2a2,3,FJ157840.1 FJ157839.1 FJ157838.1 
L0a2a2a,205,MF696088.1 MF696081.1 MF696080.1 MF696075.1 EU092925.1 EU092787.1 EU092745.1 EU092701.1 KP635243.1 MF696057.1 MF696055.1 MF696052.1 MF696048.1 MF696037.1 MF696031.1 MF696017.1 MF696015.1 KM986624.1 KM986609.1 KM986599.1 KM986580.1 KM986569.1 KM986565.1 KM986563.1 KJ669119.1 KJ669118.1 KJ445763.1 KJ445762.1 KJ445761.1 KJ185970.1 KJ185862.1 KJ185804.1 KJ185802.1 KJ185749.1 KJ185721.1 KJ185658.1 KJ185657.1 KJ185556.1 KJ185544.1 KJ185479.1 KJ185478.1 KJ185477.1 KJ185394.1 MF696011.1 MF696004.1 MF695985.1 KC622249.1 KC622187.1 KC622064.1 KC622056.1 KC533509.1 KC533495.1 KC533479.1 KC533465.1 JX303904.1 JX303826.1 JX303778.1 JX303763.1 MF695978.1 MF695974.1 MF695937.1 MF695934.1 JQ705109.1 MF695931.1 MF695923.1 MF695907.1 KF672835.1 KF672832.1 KF672825.1 KF672824.1 KF672819.1 MF695905.1 MF695897.1 MF695888.1 MF695880.1 MF695876.1 MF695867.1 DQ341058.1 KF451851.1 KF451506.1 MZ387782.1 MZ387165.1 MZ387004.1 KF450919.1 MK248325.1 MK248324.1 MK248322.1 MK248296.1 MF437079.1 MF058597.1 MF058588.1 MF058555.1 MF058539.1 MF058533.1 MF058530.1 MF058521.1 MF058507.1 MF058445.1 MF058417.1 MF058409.1 MF058397.1 MF058394.1 MF058393.1 MF058365.1 MF058289.1 MF058224.1 MF058209.1 MF058207.1 MF058205.1 MF058203.1 MF058191.1 MF058110.1 MF058096.1 MF058067.1 MF058066.1 MF057955.1 MF057951.1 MF057946.1 MF057916.1 MF057887.1 MF057864.1 MF057849.1 MF057824.1 MF057820.1 MF057738.1 MF057725.1 MF057696.1 MF057694.1 MF057693.1 MF057686.1 MF057682.1 MF057650.1 MF057635.1 MF057574.1 MF057544.1 MF057501.1 MF057487.1 MF057459.1 MF057451.1 MF057432.1 MF057428.1 MF057424.1 MF057420.1 MF057412.1 MF057383.1 MF057372.1 MF057305.1 MF057253.1 MF057239.1 MF057203.1 MF057199.1 MF057177.1 MF057161.1 MF057148.1 MF057141.1 MF057124.1 MF057121.1 MF057029.1 MF057014.1 MF056893.1 MF056837.1 MF056830.1 MF056829.1 MF056724.1 MF056627.1 MF056545.1 MF056537.1 MF056403.1 MF056387.1 MF056359.1 MF056280.1 MF056190.1 MF056128.1 MF056110.1 MF056027.1 MF055988.1 MF055986.1 MF055961.1 MF055933.1 MF055932.1 MF055928.1 MF055925.1 MF055917.1 MF055879.1 MF055858.1 MF055837.1 MF055787.1 MF696130.1 MF696122.1 MF696120.1 MF696119.1 MF696115.1 MF696114.1 MH981677.1 MH981674.1 MH981664.1 MH981663.1 MH981661.1 MH981660.1 MH981637.1 MH981634.1 MH981626.1 MH981621.1 MH981603.1 MH981601.1 
L0a2a2a1,13,KJ669123.1 KJ669122.1 KJ185947.1 KJ185946.1 KJ185803.1 KJ185719.1 KJ185655.1 KJ185553.1 KJ185550.1 KJ185541.1 JX303835.1 JX303831.1 OL638598.1 
L0a2a2a2,4,KJ669113.1 KJ185458.1 JX303786.1 JX303772.1 
L0a2b,19,KP240930.1 KP240929.1 KJ445756.1 KJ445755.1 KJ445754.1 AM711903.1 KF672810.1 HM771202.1 HM771199.1 HM771190.1 HM771189.1 KF451498.1 KF451496.1 KF451031.1 KF451020.1 KF451013.1 AF346999.1 AF346998.1 EU597537.1 
L0a2b1,5,KJ445753.1 HM771201.1 HM771200.1 HM771188.1 KF451040.1 
L0a2c,5,EF556174.1 KM986571.1 KM986555.1 KM986519.1 KF672813.1 
L0a2d,6,MF696090.1 EU092913.1 KJ185463.1 KJ185399.1 D38112.1 MF058122.1 
L0a3,2,EU092900.1 MF695965.1 
L0g,10,KJ669112.1 KJ185995.1 KC622176.1 KC622151.1 KC622150.1 KC622100.1 MK248351.1 MK248317.1 MK248291.1 MF696123.1 
L0b,1,EU092936.1 
L0f,14,MF696064.1 MF696059.1 MF696040.1 MF696023.1 KM986528.1 KF672817.1 MF695881.1 MF695866.1 MF058579.1 MF058535.1 MF058103.1 MF056564.1 MF056361.1 MF055945.1 
L0f1,5,KJ185457.1 KJ185408.1 KJ185400.1 MF695891.1 MF695883.1 
L0f2,0,
L0f2a,9,MF696078.1 MF696051.1 MF696000.1 MF695999.1 MF695993.1 MF695932.1 KF672833.1 MF695898.1 EU092964.1 
L0f2a1,4,EU092668.1 KF672809.1 MF695894.1 AY963585.2 
L0f2b,3,EU092786.1 KF672828.1 KF672814.1 
L0k,0,
L0k1,0,
L0k1a,0,
L0k1a1,23,EU092837.1 KJ669108.1 KC346201.1 KC346200.1 KC346179.1 KC346161.1 KC346159.1 KC346150.1 KC346149.1 KC346115.1 KC346113.1 KC346112.1 KC346111.1 KC345963.1 KC345962.1 KC345915.1 KC345914.1 KC345899.1 KC345894.1 MK248406.1 MK248404.1 MF381552.1 MF381550.1 
L0k1a1a,20,KJ669109.1 KJ669107.1 KJ445746.1 KC346204.1 KC346180.1 KC346162.1 KC346114.1 KC346110.1 KC346107.1 KC345964.1 KC345898.1 KC345896.1 KC345895.1 KC345893.1 AF347008.1 KF451504.1 MF381564.1 MF381562.1 MF381539.1 EU092966.1 
L0k1a1b,2,KJ669111.1 KC345965.1 
L0k1a1c,7,KJ669110.1 KJ669106.1 KC346160.1 KC346133.1 KC346108.1 AF347009.1 MK248454.1 
L0k1a1d,10,KC346205.1 KC346063.1 KC346055.1 KC346049.1 KC346048.1 KC346023.1 KC345966.1 KC345916.1 KC345913.1 KC345897.1 
L0k1a2,23,EU092855.1 EU092853.1 KJ669105.1 KJ669104.1 KC346119.1 KC346118.1 KC346083.1 KC346065.1 KC346035.1 KC346034.1 KC345961.1 KC345851.1 KC345821.1 KC345806.1 KC345805.1 KC345804.1 KC345803.1 KC345797.1 KC345796.1 KC345795.1 KC345794.1 KC345785.1 MK248375.1 
L0k1a2a,5,KJ669103.1 KC346203.1 KC346202.1 KC346199.1 KC346046.1 
L0k1a3,3,KC346073.1 KC346072.1 KC345982.1 
L0k1b,7,KC346241.1 KC346230.1 KC346121.1 JX303867.1 JX303865.1 JX303861.1 MK248358.1 
L0k2,0,
L0k2a,2,KC346233.1 KF672798.1 
L0k2a1,2,KC345922.1 KF672797.1 
L0k2a1a,2,JX303856.1 JX303765.1 
L0k2b,3,EU092792.1 KC346242.1 MF696125.1 
L0d,0,
L0d1'2,0,
L0d1,0,
L0d1a'c'd,0,
L0d1a'd,0,
L0d1a,1,KC345791.1 
L0d1a1,3,MG201854.1 MK248452.1 MK248443.1 
L0d1a1a,15,KJ669142.1 KC346226.1 KF672799.1 MK248453.1 MK248450.1 MK248446.1 MK248445.1 MK248441.1 MK248427.1 MK248426.1 MK248395.1 MK248391.1 MK248297.1 MK248287.1 MH981648.1 
L0d1a1a1,8,KP240928.1 KJ669140.1 KF451542.1 MK248390.1 MK248308.1 MK248305.1 MK248289.1 EU597514.1 
L0d1a1a2,6,KJ669143.1 KC346102.1 MK248442.1 MK248388.1 MK248310.1 MK248302.1 
L0d1a1a3,5,EU092863.1 KC346228.1 KC346227.1 MK248424.1 MK248417.1 
L0d1a1b,6,EU092833.1 KC346189.1 KC345974.1 KC345905.1 MK248438.1 MK248306.1 
L0d1a1b1,1,KC345980.1 
L0d1a1b1a,38,KC346176.1 KC346175.1 KC345979.1 KC345978.1 KC345976.1 KC345973.1 KC345971.1 KC345969.1 KC345782.1 KC345776.1 KC345775.1 KC345773.1 KC345770.1 KC345769.1 MK248444.1 MK248430.1 MK248396.1 MK248392.1 MF381534.1 MF381530.1 MF381519.1 MF381511.1 MF381504.1 MF381503.1 MF381502.1 MF381500.1 MF381487.1 MF381413.1 MF381412.1 MF381411.1 MF381406.1 MF381405.1 MF381401.1 MF381399.1 MF381396.1 MF381393.1 MF381392.1 MF381369.1 
L0d1a1b1b,9,KJ669141.1 KC533478.1 KC346225.1 MK248451.1 MK248418.1 MK248416.1 MK248415.1 MK248413.1 MK248412.1 
L0d1a1c,7,KJ669139.1 KC533497.1 KC346092.1 MK248448.1 MK248440.1 MK248439.1 MK248309.1 
L0d1a1d,4,KJ669138.1 KC533487.1 MK248414.1 MH981658.1 
L0d1d,3,KJ669137.1 MK248471.1 MK248411.1 
L0d1c,10,MF696054.1 KJ669136.1 KC345917.1 KC345779.1 KC345764.1 KF672804.1 KF672803.1 MF058419.1 MF057155.1 MF055756.1 
L0d1c1,1,KC345920.1 
L0d1c1a,2,KC533490.1 KC346144.1 
L0d1c1a1,1,KC345933.1 
L0d1c1a1a,61,EU092856.1 EU092843.1 KJ669132.1 KJ669131.1 KJ669124.1 KJ445745.1 KC346232.1 KC346208.1 KC346192.1 KC346190.1 KC346153.1 KC346123.1 KC346103.1 KC346098.1 KC346097.1 KC346089.1 KC346088.1 KC346068.1 KC346058.1 KC346047.1 KC346041.1 KC346040.1 KC346039.1 KC346031.1 KC346030.1 KC346019.1 KC346003.1 KC345999.1 KC345997.1 KC345975.1 KC345947.1 KC345946.1 KC345935.1 KC345934.1 KC345932.1 KC345919.1 KC345885.1 KC345874.1 KC345830.1 KC345826.1 KC345817.1 KC345812.1 KC345811.1 AM711904.1 KF451545.1 MK248408.1 MK248407.1 MK248403.1 MK248402.1 MK248401.1 MK248397.1 MF381574.1 MF381573.1 MF381568.1 MF381559.1 MF381558.1 MF381553.1 MF381551.1 MF381549.1 MF381546.1 MF381537.1 
L0d1c1a1a1,20,KC346080.1 KC346042.1 KC346002.1 KC346000.1 KC345998.1 KC345967.1 KC345945.1 KC345939.1 KC345863.1 KC345862.1 KC345861.1 KC345860.1 KC345859.1 KC345858.1 KC345856.1 KC345853.1 KC345835.1 KC345823.1 KC345813.1 KC345810.1 
L0d1c1a1a2,9,KC346231.1 KC346075.1 KC346026.1 KC346013.1 KC345994.1 KC345834.1 KC345829.1 KC345822.1 MK248436.1 
L0d1c1a1b,30,EU092860.1 EU092859.1 EU092832.1 KJ669133.1 KJ669130.1 KJ669129.1 KJ669127.1 KC346212.1 KC346188.1 KC346185.1 KC346172.1 KC346166.1 KC346142.1 KC346140.1 KC346137.1 KC346134.1 KC346101.1 KC346099.1 KC346096.1 KC346094.1 KC346085.1 KC345968.1 KC345936.1 KC345907.1 KC345906.1 MK248405.1 MF381571.1 MF381567.1 MF381561.1 MF381545.1 
L0d1c1a2,20,KJ669134.1 KC346084.1 KC346082.1 KC346079.1 KC346077.1 KC346076.1 KC346038.1 KC346001.1 KC345996.1 KC345995.1 KC345981.1 KC345950.1 KC345942.1 KC345941.1 KC345940.1 KC345857.1 KC345854.1 KC345837.1 KC345833.1 KC345824.1 
L0d1c2,2,KC345792.1 KC345778.1 
L0d1c2a,11,KJ669128.1 KC346032.1 KC346025.1 KC345986.1 KC345985.1 KC345984.1 KC345852.1 KC345828.1 KC345827.1 KC345808.1 JX303791.1 
L0d1c2a1,8,KC346081.1 KC346037.1 KC346018.1 KC346017.1 KC346015.1 KC345938.1 KC345836.1 KC345815.1 
L0d1c3,2,MF381291.1 MF381290.1 
L0d1b,0,
L0d1b1,0,
L0d1b1a,3,KC346078.1 KC346074.1 MF381554.1 
L0d1b1a1,16,KC346122.1 KC346120.1 KC346117.1 KC346116.1 KC346016.1 KC345918.1 KC345909.1 KC345802.1 KC345801.1 KC345800.1 KC345799.1 KC345798.1 KC345793.1 KC345790.1 KC345789.1 KC345788.1 
L0d1b1b,1,KJ669135.1 
L0d1b1b1,33,KC346248.1 KC346244.1 KC346235.1 KC346125.1 KC345783.1 KC345774.1 KC345772.1 KC345771.1 KC345768.1 KC345767.1 KC345766.1 KC345765.1 MF381532.1 MF381531.1 MF381529.1 MF381524.1 MF381518.1 MF381513.1 MF381509.1 MF381506.1 MF381499.1 MF381498.1 MF381497.1 MF381494.1 MF381492.1 MF381486.1 MF381472.1 MF381407.1 MF381400.1 MF381398.1 MF381394.1 MF381389.1 MF381320.1 
L0d1b1+@152,3,KC345780.1 MF381495.1 MF381299.1 
L0d1b1c,1,KC346236.1 
L0d1b2,0,
L0d1b2a,0,
L0d1b2a1,30,KJ669152.1 KJ669149.1 KJ445741.1 KJ445740.1 KC346215.1 KC346171.1 KC346152.1 KC346124.1 KC346070.1 KC346069.1 KC346067.1 KC346066.1 KC346059.1 KC346043.1 KC346036.1 KC346029.1 KC346028.1 KC346027.1 KC346014.1 KC345972.1 KC345925.1 KC345875.1 KC345872.1 KC345869.1 KC345807.1 KC345787.1 KC345786.1 KF451541.1 KF451501.1 MF381572.1 
L0d1b2a2,9,KC346245.1 KC346184.1 KC346182.1 KC346181.1 KC345948.1 KC345903.1 KC345902.1 KC345876.1 JX303818.1 
L0d1b2b,2,MK248365.1 MH981651.1 
L0d1b2b1,0,
L0d1b2b1a,19,KC346187.1 KC346126.1 KC345949.1 KC345943.1 KC345937.1 KC345908.1 KC345904.1 KC345900.1 KC345884.1 KC345883.1 KC345881.1 KC345879.1 KC345878.1 KC345877.1 KC345871.1 KC345870.1 KC345867.1 MF381543.1 EU092965.1 
L0d1b2b1b,6,KC345926.1 KC345923.1 MK248379.1 MH981632.1 MH981630.1 MH981624.1 
L0d1b2b1b1,8,KJ669155.1 KJ669153.1 KJ669150.1 MK248434.1 MK248384.1 MK248299.1 MK248288.1 MK248284.1 
L0d1b2b2,3,KC345924.1 KC345781.1 MK248283.1 
L0d1b2b2a,12,EU092841.1 KJ669145.1 KC346216.1 KC345921.1 KF672816.1 MK248432.1 MK248373.1 MK248314.1 MK248282.1 MK248274.1 MH981671.1 MH981622.1 
L0d1b2b2b,0,
L0d1b2b2b1,16,KJ669154.1 KJ669144.1 KJ445743.1 KC346213.1 KC346209.1 KC346165.1 KC346163.1 KF451543.1 MK248419.1 MK248394.1 MK248386.1 MK248378.1 MK248371.1 MK248349.1 MK248279.1 EU597502.1 
L0d1b2b2c,1,MK248369.1 
L0d1b2b2c1,10,KJ445742.1 KC346177.1 KC346170.1 KC346139.1 KC346136.1 KC345901.1 KC345882.1 KC345880.1 KC345868.1 KF451538.1 
L0d1b2b2c2,8,KJ669151.1 KJ669148.1 KJ669147.1 KC346143.1 KC346141.1 KC346135.1 KC346093.1 KC345873.1 
L0d2,0,
L0d2a'b'd,1,MF057154.1 
L0d2a,0,
L0d2a1,10,EU092835.1 EU092700.1 KC533510.1 KC533481.1 KC346090.1 MK248433.1 MK248368.1 MK248323.1 MH981678.1 MH981638.1 
L0d2a1a,64,EU092846.1 EU092839.1 KJ669179.1 KJ669178.1 KJ669177.1 KJ669176.1 KJ669174.1 KJ669173.1 KJ669172.1 KJ669170.1 KJ445739.1 KC533516.1 KC533502.1 KC533486.1 KC346220.1 KC346211.1 KC346195.1 KC346194.1 KC346178.1 KC346174.1 KC346168.1 KC346087.1 KC345958.1 KC345890.1 KC345889.1 KC345887.1 KC345886.1 KC345866.1 KC345784.1 KC345777.1 AY195777.1 KF451539.1 MK248437.1 MK248429.1 MK248428.1 MK248425.1 MK248421.1 MK248398.1 MK248389.1 MK248383.1 MK248374.1 MK248367.1 MK248366.1 MK248364.1 MK248311.1 MK248278.1 MK248277.1 MK248276.1 MK248275.1 MF381575.1 MF381570.1 MF381569.1 MF381565.1 MF381563.1 MF381560.1 MF381557.1 MF381556.1 MF381555.1 MF381547.1 MF381544.1 MF381542.1 MF381541.1 MF381538.1 MH981669.1 
L0d2a1a1,17,KC346196.1 KC346145.1 KC346127.1 KC346106.1 KC346061.1 KC346033.1 KC346022.1 KC346021.1 KC346020.1 KC346008.1 KC345989.1 KC345987.1 KC345952.1 KC345911.1 MK248423.1 MK248399.1 MK248326.1 
L0d2a1a1a,9,KC346010.1 KC346004.1 KC345993.1 KC345992.1 KC345988.1 KC345960.1 KC345955.1 KC345865.1 MK248410.1 
L0d2a1a2,2,KJ669175.1 KJ669171.1 
L0d2a1a3,1,KC346221.1 
L0d2a1b,8,KJ669180.1 KC533477.1 KC346011.1 KC346005.1 KC345991.1 KC345990.1 KC345929.1 KC345927.1 
L0d2a1c,6,KC346198.1 KC346197.1 KC346193.1 KC346045.1 KC346044.1 MK248409.1 
L0d2a2,1,KC346240.1 
L0d2b,0,
L0d2b1,0,
L0d2b1a,7,KC346207.1 MK248393.2 MK248387.2 MK248385.2 MK248377.2 MK248376.2 MK248359.1 
L0d2b1a1,6,KC345956.1 KC345844.1 KC345842.1 JX303903.1 JX303899.1 JX303897.1 
L0d2b1a1a,15,KC346071.1 KC346009.1 KC345957.1 KC345912.1 KC345850.1 KC345849.1 KC345848.1 KC345847.1 KC345846.1 KC345845.1 KC345843.1 KC345841.1 KC345840.1 KC345839.1 KC345838.1 
L0d2b1b,7,KJ669166.1 KC346169.1 KC346167.1 KC346155.1 KC346147.1 KC346130.1 MK248400.1 
L0d2b2,4,EU092840.1 JX303788.1 KF672802.1 MH981666.1 
L0d2d,10,KJ669168.1 KJ669167.1 KC346223.1 KC345891.1 MK248435.1 MK248431.1 MK248372.1 MK248362.1 MK248355.1 MK248336.1 
L0d2c,0,
L0d2c1,5,EU092708.1 KJ669158.1 KC533494.1 KF672818.1 KF672801.1 
L0d2c1a,2,KC346222.1 KC346086.1 
L0d2c1a1,5,EU092845.1 EU092844.1 KJ669163.1 KC346206.1 MK248420.2 
L0d2c1b,5,KC346158.1 KC346156.1 KC346132.1 KC346131.1 KC345892.1 
L0d2c2,8,KJ669165.1 KJ669161.1 KC346146.1 MK248382.2 MK248350.1 MK248344.1 MK248332.1 MH981644.1 
L0d2c2a,2,KC346217.1 MK248381.2 
L0d2c2a1,2,KJ669164.1 MK248422.2 
L0d2c2a1a,4,KC346062.1 KC346060.1 KC346053.1 KC346052.1 
L0d2c2b,7,KJ669162.1 KC346219.1 KC346218.1 MK248449.1 MK248370.2 MK248339.1 MK248338.1 
L0d3,4,MF696069.1 KJ445738.1 KF672823.1 KF450936.1 
L0d3a,1,EU092921.1 
L0d3b,1,KC533475.1 
L0d3b1,22,EU092842.1 KC345930.1 MK248447.1 MK248361.1 MK248357.1 MK248356.1 MK248353.1 MK248352.1 MK248348.1 MK248346.1 MK248345.1 MK248343.1 MK248341.1 MK248335.1 MK248331.1 MK248316.1 MK248294.1 MK248290.1 MK248286.1 MK248285.2 MK248281.2 MK248280.2 
L0d3b2,3,KC346224.1 KC345931.1 MK248315.1 
L1,0,
L1b,0,
L1b1,0,
L1b1a,51,MF696072.1 MF696065.1 MF696063.1 MF696062.1 KT819245.1 KT819244.1 MF696061.1 MF696019.1 KM101714.1 KM101595.1 KJ445814.1 KJ445809.1 KJ445804.1 KJ185811.1 KJ185808.1 KJ185661.1 MF696006.1 KC622178.1 KC622162.1 KC622131.1 JX303779.1 JX303777.1 JX303756.1 MF695957.1 MH161386.1 MF695908.1 JQ045119.1 JQ045111.1 JQ045086.1 JQ045036.1 JQ044926.1 JQ044889.1 JQ044857.1 JN214466.1 JN214464.1 MF695896.1 OP682291.1 OP682226.1 KF451738.1 KF451441.1 KF451425.1 MZ387204.1 MZ387164.1 MZ387152.1 MZ387082.1 MZ387056.1 MN894767.1 DQ304922.1 DQ304920.1 DQ304919.1 MF056840.1 
L1b1a1'4,0,
L1b1a1,0,
L1b1a4,10,KM101736.1 KM101649.1 KJ445808.1 JQ705115.1 JQ045107.1 JQ044863.1 KF451656.1 MZ387083.1 MZ387055.1 MZ386994.1 
L1b1a4a,6,EU092715.1 KJ445807.1 AY195783.2 JQ045113.1 JQ044792.1 KF451419.1 
L1b1a2,5,EU092672.1 KJ445806.1 KJ445805.1 KF451224.1 KF451150.1 
L1b1a2a,7,EU092775.1 JN214474.1 OP682399.1 MZ921331.1 EU092952.1 EU092948.1 EU092940.1 
L1b1a+189,11,KJ185511.1 KJ185401.1 JQ044950.1 JQ044868.1 JN214471.1 JN214465.1 ON409192.1 MZ921276.1 MZ920941.1 MK139597.1 MF056333.1 
L1b1a3,30,KM101570.1 KM101569.1 KJ445812.1 KJ185885.1 KJ185417.1 KJ185413.1 JX303901.1 JX303898.1 JX303892.1 JX303787.1 JX303771.1 MF695963.1 MF695960.1 JQ705732.1 JQ045083.1 JN214462.1 HM771163.1 OL638787.1 OL638646.1 KF451438.1 MZ387765.1 MZ387738.1 MZ387186.1 MZ387001.1 DQ304917.1 DQ304916.1 DQ304910.1 DQ304909.1 DQ304908.1 AF346986.1 
